"url","Origin","Destination","Number of People","Age","Male Victim","Female Victim","Category","Date","City"
"https://www.dailymail.co.uk/news/article-6864603/Debt-ridden-couple-sells-twins-separate-families-14-000-pay-loan-sharks.html","China","China",2,1,1,1,,"29/03/2019",
"https://www.freepressjournal.in/bhopal/human-trafficking-inter-state-gang-busted-minor-girl-rescued/1492311","India","India",1,7,0,1,"Sexual Exploit","29/03/2019","Bhopal"
"https://www.tribuneindia.com/news/punjab/five-children-rescued-from-bangle-factory/749783.html","India","India",5,"6-10",,,"Bonded Bonded Labour","28/03/2019","Abohar"
"https://english.newstracklive.com/news/child-Bonded Bonded Labourers-from-mp-bihar-rescued-from-danapursecunderabad-express-mc16-nu-1004941-1.html","India","India",26,,,,"Child Bonded Labour","27/03/2019","Nagpur"
"https://timesofindia.indiatimes.com/city/kolkata/2-missed-calls-2-years-apart-let-2-trafficked-women-trap-their-seller/articleshow/68542564.cms","India","India",2,,0,2,"Sexual Exploit","24/03/2019","Kolkata"
"https://www.thedailystar.net/city/news/eight-rescued-trafficking-libya-1721956","Bangladesh","Libya",8,"22-45",8,0,"Bonded Bonded Labour","29/03/2019","Dhaka"
"https://timesofindia.indiatimes.com/city/nagpur/35-children-from-bihar-mp-rescued-from-danapur-secunderabad-express/articleshow/68587240.cms","india","india",35,,0,35,"prostitution","27/03/2019","Bibhar, MP , Secunderabad"
"https://www.nairaland.com/5100278/ondo-state-government-set-up","nigeria",,,,,,,,
"http://www.fox2detroit.com/news/local-news/two-women-rescued-from-human-trafficking-in-madison-heights-second-bust-in-area-in-two-months","USA","USA",2,"21-23",0,2,"Sexual Exploit","28/03/2019","Michigan"
"https://guardian.ng/news/naptip-police-raid-abuja-hotel-rescue-three-sexual-exploitation-victims/","nigeria","nigeria",3,,,,"prostitution","27/03/2019",
"http://www.theglobaldispatch.com/missouri-city-man-eddie-larue-sentenced-for-sex-trafficking-a-12-year-old-girl-60672/","usa","usa",1,12,,1,"prostitution","04/07/2017","Missourie City"
"https://timesofindia.indiatimes.com/city/kolkata/2-missed-calls-2-years-apart-let-2-trafficked-women-trap-their-seller/articleshow/68542564.cms","india","india",2,,,2,"prostitution","24/03/2017","Kolkata"
"https://www.businessinsider.in/i-spent-a-day-with-the-us-coast-guard-in-the-port-of-miami-where-units-search-for-drug-smugglers-and-unauthorized-migrants/articleshow/68530544.cms","india","india",16,,,,,,
"https://www.standardmedia.co.ke/article/2001318902/human-trafficking-syndicate-busted-8-rescued","Kenya","Kenya",8,,,,"Bonded Labour","31/03/2019","Wamba City"
"http://www.daily-sun.com/post/381380/22-Rohingyas-7-Bangladeshi-rescued-while-trafficking","Bangladesh","Malaysia",29,,16,6,"Bonded Labour","30/03/2019",
"https://www.the-star.co.ke/news/2019-03-30-three-traders-charged-with-human-trafficking/","Burundi","Kenya",25,"24-33",,25,"prostitution","30/03/2019",
"https://www.theeastafrican.co.ke/news/ea/25-Burundian-women-rescue-Kenya-human-trafficking/4552908-5045982-r5tsygz/index.html","Kenya","Asia",25,,,25,"Bonded Labour","28/03/2019","Ruiru"
